n,pair_count,unique_S,runtime_sec,pkl_file,result,e_x
1,2,2,1.46,total_sum_n1.pkl,0.13533528323651019945850475464932830994105595397601,141909.32995500691890740108161117408192475268799635
2,15,14,5.37,total_sum_n2.pkl,0.018315715621252352909816611109432049937414468124369,20138342296.605485647542472210575598493551100772198
3,203,126,76.63,total_sum_n3.pkl,0.0024787833305460825951603254594933597784869599168900,2857842607047560.8552215642014078511740956485454233
4,4140,1518,2584.17,total_sum_n4.pkl,0.00033547106036514159006195212820494749239976220664667,405559626608917536786.64046274619761999111688712987
